City Group,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,revenue,Sale Day,Sale Year,Sale Month
Other,IL,4.0,5.0,4.0,3.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,15.177482769114041,8,1996,5
Big Cities,IL,12.0,8.0,6.0,8.0,2.0,8.0,10.0,8.0,8.0,8.0,10.0,6.0,6.0,15.0,8.0,12.0,6.0,9.0,25.0,15.0,9.0,5.0,15.0,6.0,10.0,10.0,5.0,12.0,2.0,25.0,15.0,25.0,6.0,18.0,3.0,16.0,6.0,15.27101516694316,10,1997,4
Big Cities,IL,4.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,15.364337373490478,28,1998,1
Big Cities,IL,4.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,15.146353253802271,14,1998,3
Big Cities,IL,12.0,8.0,6.0,6.0,2.0,8.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,15.0,10.0,15.0,15.0,12.0,10.0,9.0,6.0,3.0,5.0,10.0,10.0,12.0,5.0,5.0,8.0,20.0,15.0,25.0,4.0,24.0,15.0,20.0,6.0,14.75209516899967,13,1998,7
Big Cities,IL,2.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,15.601619761127877,12,1998,8
Other,IL,2.0,4.0,5.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,7.0,4.0,2.0,3.0,11.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,15.352779202358168,5,1999,6
Big Cities,IL,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,15.547830307268965,17,1999,7
Other,FC,4.0,5.0,4.0,3.0,1.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,9.0,2.0,4.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,2.0,4.0,3.0,1.0,10.0,11.0,2.0,6.0,4.0,6.0,2.0,15.508421043200087,9,1999,10
Big Cities,IL,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,16.42375699823255,18,1999,12
Big Cities,FC,3.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,6.0,2.0,3.0,9.0,2.0,1.0,4.0,1.0,1.0,1.0,6.0,5.0,5.0,5.0,2.0,2.0,8.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,16.795973851694033,7,2000,1
Big Cities,FC,3.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0,7.0,4.0,4.0,2.0,5.0,3.0,15.829759097714035,7,2000,1
Big Cities,FC,12.0,8.0,8.0,6.0,2.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,5.0,9.0,11.0,3.0,9.0,25.0,15.0,6.0,3.0,25.0,7.0,6.0,9.0,1.0,10.0,8.0,16.0,9.0,15.0,3.0,17.0,13.0,12.0,2.0,15.729845413024448,1,2002,11
Big Cities,FC,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,7.0,6.0,3.0,4.0,5.0,1.0,2.0,1.0,6.0,3.0,5.0,4.0,3.0,2.0,8.0,3.0,7.0,3.0,5.0,4.0,7.0,3.0,14.978542610718616,6,2002,11
Other,FC,4.0,5.0,2.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,1.0,2.0,3.0,5.0,5.0,6.0,1.0,1.0,3.0,6.0,5.0,5.0,4.0,7.0,8.0,5.0,3.0,14.822757641838216,11,2004,9
Big Cities,IL,2.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,4.0,15.265759754285238,13,2004,10
Big Cities,FC,2.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,7.0,4.0,7.0,11.0,6.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,2.0,3.0,3.0,6.0,4.0,3.0,2.0,7.0,7.0,3.0,15.052456813413784,13,2004,11
Big Cities,DT,1.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,3.0,9.0,9.0,8.0,4.0,10.0,3.0,8.0,1.0,15.153141846838212,18,2005,8
Big Cities,FC,5.0,5.0,4.0,5.0,1.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,6.0,7.0,9.0,3.0,5.0,3.0,8.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0,16.62184016272314,15,2005,10
Big Cities,FC,2.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,4.0,3.0,2.0,3.0,1.0,8.0,15.0,3.0,6.0,3.0,6.0,4.0,15.218322499655205,16,2005,12
Big Cities,IL,3.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,1.0,4.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,14.51800689861144,27,2005,12
Other,FC,9.0,6.0,6.0,6.0,4.0,6.0,10.0,10.0,10.0,10.0,2.0,10.0,8.0,4.0,5.0,10.0,2.0,6.0,15.0,12.0,3.0,3.0,10.0,7.0,3.0,6.0,2.0,8.0,8.0,25.0,7.0,16.0,7.0,17.0,13.0,12.0,3.0,15.190765963393943,1,2006,7
Other,FC,3.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,5.0,1.0,5.0,5.0,2.0,3.0,6.0,12.0,11.0,3.0,5.0,2.0,5.0,5.0,14.749585410732324,8,2006,7
Big Cities,FC,4.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,7.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,9.0,5.0,8.0,6.0,3.0,3.0,8.0,6.0,4.0,1.0,1.0,7.0,6.0,4.0,16.0415120785719,12,2006,10
Big Cities,FC,1.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,8.0,4.0,1.0,3.0,14.0,1.0,2.0,3.0,6.0,6.0,2.0,4.0,15.053273297737032,13,2006,10
Big Cities,FC,4.0,5.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,5.0,1.0,4.0,2.0,9.0,4.0,6.0,2.0,3.0,3.0,5.0,9.0,3.0,3.0,7.0,9.0,4.0,2.0,15.19748761291523,27,2006,11
Big Cities,IL,12.0,8.0,6.0,6.0,2.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,9.0,8.0,12.0,3.0,12.0,10.0,9.0,6.0,3.0,5.0,8.0,8.0,10.0,10.0,10.0,8.0,5.0,6.0,10.0,6.0,18.0,12.0,12.0,6.0,15.23534268793223,6,2006,12
Other,FC,3.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,7.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,6.0,5.0,2.0,2.0,8.0,6.0,8.0,2.0,3.0,8.0,7.0,4.0,14.556029277873503,9,2006,12
Other,IL,4.0,5.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,15.31239078379547,22,2007,1
Other,FC,4.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,2.0,4.0,1.0,9.0,5.0,9.0,3.0,7.0,7.0,6.0,3.0,15.186641787663541,8,2007,2
Other,IL,3.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,6.0,2.0,4.0,7.0,7.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,7.0,8.0,1.0,3.0,12.0,6.0,9.0,4.0,8.0,8.0,8.0,7.0,14.54953477152983,20,2007,6
Big Cities,FC,2.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,9.0,6.0,9.0,7.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,3.0,3.0,2.0,7.0,8.0,10.0,4.0,4.0,8.0,6.0,4.0,15.255171263218486,25,2007,8
Other,FC,3.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,6.0,1.0,6.0,3.0,6.0,3.0,2.0,1.0,2.0,1.0,8.0,3.0,4.0,5.0,3.0,3.0,2.0,6.0,13.0,1.0,6.0,7.0,5.0,4.0,15.842641577529504,7,2007,9
Big Cities,FC,3.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,6.0,4.0,6.0,2.0,4.0,4.0,5.0,2.0,2.0,1.0,6.0,5.0,6.0,1.0,4.0,3.0,1.0,5.0,5.0,2.0,2.0,2.0,5.0,3.0,16.08271207058595,21,2007,9
Big Cities,FC,4.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,3.0,5.0,6.0,3.0,3.0,1.0,3.0,1.0,5.0,2.0,5.0,2.0,2.0,3.0,6.0,11.0,11.0,3.0,8.0,5.0,7.0,3.0,15.09657439497707,1,2007,12
Big Cities,FC,5.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,7.0,3.0,2.0,6.0,6.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,6.0,3.0,5.0,2.0,5.0,2.0,8.0,4.0,7.0,2.0,6.0,5.0,15.59158041982115,11,2008,2
Big Cities,FC,4.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,8.0,4.0,1.0,4.0,3.0,5.0,3.0,6.0,15.750378826356913,14,2008,2
Other,FC,1.0,2.0,5.0,3.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,10.0,6.0,2.0,4.0,2.0,4.0,5.0,3.0,14.842280204116772,15,2008,3
Big Cities,FC,12.0,8.0,6.0,6.0,2.0,8.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,12.0,3.0,13.0,5.0,15.0,15.0,3.0,3.0,3.0,5.0,8.0,10.0,11.0,1.0,8.0,8.0,12.0,12.0,25.0,3.0,18.0,5.0,17.0,4.0,15.970834202454078,1,2008,4
Big Cities,FC,3.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,3.0,7.0,2.0,2.0,5.0,2.0,4.0,3.0,4.0,8.0,5.0,5.0,3.0,3.0,9.0,2.0,9.0,2.0,5.0,10.0,4.0,5.0,14.923501396888462,9,2008,5
Big Cities,FC,12.0,8.0,6.0,6.0,4.0,6.0,10.0,8.0,8.0,8.0,6.0,8.0,6.0,6.0,5.0,11.0,6.0,10.0,15.0,12.0,3.0,2.0,5.0,7.0,7.0,10.0,6.0,8.0,5.0,18.0,14.0,19.0,6.0,10.0,4.0,13.0,6.0,15.285818348382689,30,2008,5
Other,FC,3.0,3.0,6.0,6.0,4.0,2.0,2.0,8.0,10.0,10.0,6.0,10.0,8.0,7.0,4.0,8.0,4.0,8.0,5.0,3.0,3.0,1.0,5.0,4.0,2.0,2.0,4.0,2.0,8.0,14.0,6.0,5.0,3.0,12.0,6.0,11.0,6.0,15.402452318820426,15,2008,6
Other,FC,2.0,3.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,11.0,3.0,4.0,4.0,4.0,6.0,14.99688124808465,21,2008,6
Other,FC,2.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,6.0,6.0,7.0,7.0,2.0,3.0,14.0,5.0,4.0,3.0,5.0,7.0,6.0,1.0,15.571227391928732,25,2008,6
Other,IL,3.0,3.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,4.0,2.0,4.0,5.0,5.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,15.205734687420012,20,2008,7
Big Cities,FC,2.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,9.0,2.0,9.0,4.0,8.0,2.0,15.752981482441456,12,2008,8
Big Cities,FC,2.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,5.0,6.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,11.0,8.0,12.0,3.0,8.0,5.0,6.0,4.0,15.339482952498114,25,2008,11
Other,IL,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,4.0,4.0,1.0,3.0,13.0,3.0,9.0,3.0,6.0,13.0,4.0,6.0,14.91685245120325,1,2008,12
Other,IL,4.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,1.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,15.2399279145812,6,2008,12
Other,FC,3.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,9.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,1.0,3.0,15.0,5.0,12.0,4.0,5.0,2.0,8.0,5.0,14.997828069869346,17,2009,1
Big Cities,FC,3.0,5.0,4.0,4.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,2.0,4.0,5.0,7.0,4.0,7.0,4.0,5.0,1.0,9.0,6.0,11.0,3.0,7.0,1.0,7.0,2.0,15.716841364882255,26,2009,1
Big Cities,IL,4.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,15.155251950525377,28,2009,3
Other,IL,3.0,4.0,3.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,15.278005485947833,9,2009,5
Big Cities,IL,1.0,1.0,4.0,3.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,14.67606825965636,11,2009,5
Big Cities,IL,4.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,1.0,15.331568785988138,1,2009,6
Other,FC,2.0,4.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,7.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,6.0,6.0,1.0,14.913812465135697,3,2009,6
Big Cities,IL,3.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,3.0,5.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,14.74190052049656,5,2009,8
Big Cities,FC,4.0,5.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,8.0,7.0,8.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,5.0,3.0,3.0,2.0,4.0,6.0,5.0,11.0,2.0,9.0,4.0,15.666048553866382,1,2009,9
Big Cities,IL,5.0,5.0,3.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,16.00202071816329,20,2009,9
Big Cities,FC,2.0,4.0,5.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0,3.0,5.0,6.0,9.0,3.0,4.0,1.0,6.0,5.0,14.820780928529512,24,2009,9
Big Cities,IL,4.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,15.262559885346569,9,2009,10
Big Cities,FC,4.0,5.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,3.0,6.0,3.0,3.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,13.0,2.0,2.0,3.0,4.0,9.0,5.0,3.0,15.131212107661344,16,2009,10
Big Cities,FC,2.0,4.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,8.0,4.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,6.0,8.0,4.0,3.0,2.0,4.0,4.0,15.921292743728163,8,2009,11
Big Cities,IL,4.0,5.0,5.0,3.0,1.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,15.877987638441512,23,2009,12
Big Cities,IL,12.0,8.0,8.0,4.0,2.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,3.0,4.0,9.0,3.0,3.0,10.0,15.0,3.0,4.0,5.0,6.0,4.0,8.0,5.0,10.0,5.0,25.0,6.0,10.0,4.0,18.0,12.0,12.0,2.0,14.42952091208302,25,2009,12
Other,FC,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,7.0,4.0,8.0,4.0,3.0,1.0,1.0,2.0,7.0,6.0,6.0,5.0,2.0,3.0,10.0,5.0,8.0,2.0,3.0,9.0,5.0,7.0,14.4479157348188,9,2010,1
Other,IL,4.0,5.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,15.658156722262913,25,2010,1
